사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
Feb-23,2호선,237,당산,15,2,"5,684","2,767","14,376","10,873","39,954","25,501","52,297","74,833","31,810","33,966","22,254","18,144","22,440","16,941","23,413","18,891","22,608","21,217","21,533","21,066","22,244","23,968","25,929","29,567","40,447","42,875","58,799","70,208","25,353","49,171","19,326","30,803","19,315","31,113","16,941","27,950","8,353","18,807","1,407","4,430",2,139,0,0,0,0
Feb-23,2호선,238,합정,57,4,"8,687","2,631","16,157","12,730","39,059","30,027","52,197","92,748","33,941","83,255","25,744","50,571","27,869","51,504","34,292","53,910","38,732","60,876","42,013","55,124","47,335","55,493","54,445","63,509","75,057","81,508","114,989","115,427","76,370","78,902","63,189","40,801","70,569","33,542","67,090","28,461","35,716","20,600","6,002","7,514",4,178,0,0,0,0
Feb-23,2호선,239,홍대입구,958,13,"25,149","3,237","27,475","15,583","56,849","31,989","74,567","94,350","53,823","111,406","46,254","91,458","53,830","116,457","62,598","142,057","73,192","153,764","83,906","147,377","102,718","149,014","131,151","152,249","159,588","178,119","191,309","215,940","158,705","157,748","153,030","86,844","179,684","68,675","176,559","56,523","93,479","40,775","12,250","15,292",4,"1,624",1,0,0,0
Feb-23,2호선,240,신촌,49,3,"6,373","2,501","12,792","12,726","33,510","31,640","51,061","70,954","36,320","85,592","33,988","60,302","41,076","59,804","52,819","63,804","56,993","69,993","58,614","62,409","67,915","59,632","76,796","62,288","90,386","78,123","90,772","108,004","64,266","71,357","66,698","40,454","69,137","34,850","68,138","30,224","34,413","21,054","5,352","5,990",2,111,0,0,0,0
Feb-23,2호선,241,이대,12,0,"3,227",731,"7,959","5,412","24,245","10,492","35,213","33,101","21,165","30,190","16,346","23,386","17,701","20,694","22,975","23,044","23,003","26,272","21,828","22,549","25,112","22,942","28,458","23,718","38,210","27,975","33,022","40,665","21,001","30,697","16,374","19,997","14,816","18,752","12,808","18,627","4,856","13,195",728,"3,970",2,62,0,0,0,0
Feb-23,2호선,242,아현,18,0,"4,196",886,"9,067","5,169","26,210","8,359","38,612","16,495","22,390","12,572","16,373","10,077","15,837","9,661","16,810","11,015","15,810","12,699","14,600","12,939","16,161","15,131","17,038","16,486","17,990","22,020","18,872","31,956","11,719","23,986","8,585","15,923","6,302","15,342","4,441","13,919","2,029","8,847",348,"2,558",2,26,0,0,0,0
Feb-23,2호선,243,충정로(경기대입구),14,0,"2,880",921,"6,059","7,051","14,667","19,437","21,081","58,708","13,773","26,192","9,884","12,650","10,803","10,252","11,419","10,604","12,208","12,648","13,280","11,559","13,963","11,649","17,184","13,084","28,713","15,857","46,550","21,209","14,684","15,009","9,813","9,814","9,775","9,686","6,887","9,038","3,101","6,085",623,"1,810",0,38,0,0,0,0
Feb-23,2호선,244,용답,2,0,"1,942",175,"2,861","1,070","6,983","1,457","12,757","3,135","6,560","1,915","4,581","2,051","4,047","2,296","4,240","2,463","4,609","3,057","4,103","3,486","3,799","4,232","4,233","5,455","4,166","6,197","3,566","10,422","2,238","7,112","1,564","4,689","1,289","5,531",945,"4,904",477,"2,901",98,976,0,0,0,0,0,0
Feb-23,2호선,245,신답,6,0,"1,177",152,"1,705",599,"6,003",827,"10,885","1,795","4,686",911,"2,359","1,037","2,031","1,143","2,163","1,325","2,009","1,536","1,774","1,981","1,725","2,531","1,928","3,504","2,065","4,287","2,279","9,279","1,113","6,692",576,"3,239",470,"3,632",448,"2,973",146,"2,025",33,558,0,2,0,0,0,0
Feb-23,2호선,246,신설동,55,2,"1,545",286,"1,380","1,928","4,300","5,065","7,872","13,148","4,588","8,127","3,749","7,572","4,896","7,205","5,936","7,091","6,889","7,364","7,969","6,252","8,863","5,633","9,506","4,761","10,990","5,385","13,008","6,756","4,457","5,345","2,983","3,722","2,593","3,059","1,764","2,803",690,"1,943",120,697,0,134,0,0,0,0
Feb-23,2호선,247,도림천,0,0,301,417,"1,053",867,"3,112","2,786","3,650","5,512","1,970","1,760","1,992","1,541","1,552","1,325","2,336","1,875","1,573","1,574","1,876","1,808","2,052","1,727","2,517","2,063","2,730","2,141","3,406","3,074","1,734","2,684",852,"1,646",740,"1,487",454,"1,244",172,908,32,244,1,4,0,0,0,0
Feb-23,2호선,248,양천구청,11,0,"4,239",894,"10,044","2,092","30,377","4,240","28,064","9,958","16,776","5,259","11,611","4,551","10,491","4,988","10,888","6,626","9,416","7,469","7,954","8,134","7,724","10,302","8,376","12,671","10,019","17,565","9,497","27,740","4,129","23,575","2,873","13,669","2,384","13,211","2,103","10,636",713,"8,706",113,"2,642",0,16,0,0,0,0
Feb-23,2호선,249,신정네거리,55,0,"7,485",788,"16,691","2,456","45,851","4,235","42,812","10,665","23,307","7,965","16,786","6,875","14,742","8,685","15,367","9,870","14,362","11,084","12,562","12,051","11,359","16,261","12,587","20,079","12,709","27,484","11,709","45,711","7,179","35,238","5,108","20,027","4,462","17,990","3,447","16,578","1,389","11,296",291,"3,241",1,158,0,0,0,0
Feb-23,2호선,250,용두(동대문구청),23,0,"1,005",54,"1,505",956,"4,534","2,220","8,629","5,321","4,405","3,097","3,413","2,897","3,355","3,242","3,689","3,181","3,834","4,047","4,244","4,264","4,521","4,242","4,821","4,112","4,706","4,432","5,457","7,737","2,284","4,909","1,662","2,954","1,485","2,828",833,"2,186",399,"1,279",55,482,0,3,0,0,0,0
Feb-23,3호선,309,지축,9,1,"2,620",730,"8,178","6,295","24,490","5,031","23,885","6,818","13,017","4,672","9,403","3,849","8,459","4,671","8,650","5,501","8,279","6,106","7,458","6,367","8,209","8,046","10,744","9,876","9,852","13,219","7,174","23,280","4,959","18,539","3,857","11,868","2,931","10,632","2,386","9,458","1,097","5,271",210,"1,051",0,0,0,0,0,0
Feb-23,3호선,310,구파발,58,1,"9,877","1,138","28,081","8,181","80,061","17,775","75,423","24,373","42,437","23,776","30,823","24,888","29,497","22,510","30,159","25,048","28,706","26,748","28,863","27,735","30,861","27,971","32,583","33,704","34,482","38,908","28,904","71,161","18,140","60,614","14,757","33,771","12,931","30,448","10,388","27,420","3,126","19,336",519,"8,020",1,237,0,0,0,0
